INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita government expenditure on health (PPP int. $),1999,Africa,Sierra Leone,18.5
Per capita government expenditure on health (PPP int. $),2001,Africa,Sierra Leone,18.9
Per capita government expenditure on health (PPP int. $),2000,Africa,Sierra Leone,26.1
Per capita government expenditure on health (PPP int. $),2010,Africa,Sierra Leone,26.2
Per capita government expenditure on health (PPP int. $),1995,Africa,Sierra Leone,14.5
Per capita government expenditure on health (PPP int. $),2008,Africa,Sierra Leone,18.2
Per capita government expenditure on health (PPP int. $),1996,Africa,Sierra Leone,13.6
Per capita government expenditure on health (PPP int. $),2003,Africa,Sierra Leone,21.6
Per capita government expenditure on health (PPP int. $),2004,Africa,Sierra Leone,21.7
Per capita government expenditure on health (PPP int. $),2005,Africa,Sierra Leone,22.5
Per capita government expenditure on health (PPP int. $),2002,Africa,Sierra Leone,22.7
Per capita government expenditure on health (PPP int. $),2009,Africa,Sierra Leone,22.9
Per capita government expenditure on health (PPP int. $),2012,Africa,Sierra Leone,34
Per capita government expenditure on health (PPP int. $),2011,Africa,Sierra Leone,31
Per capita government expenditure on health at average exchange rate (US$),1999,Africa,Sierra Leone,4.9
Per capita government expenditure on health at average exchange rate (US$),2000,Africa,Sierra Leone,6.1
Per capita government expenditure on health at average exchange rate (US$),2010,Africa,Sierra Leone,10.6
Per capita government expenditure on health at average exchange rate (US$),2012,Africa,Sierra Leone,15.9
Per capita government expenditure on health at average exchange rate (US$),2004,Africa,Sierra Leone,7.7
Per capita government expenditure on health at average exchange rate (US$),2008,Africa,Sierra Leone,8
Per capita government expenditure on health at average exchange rate (US$),2009,Africa,Sierra Leone,9.5
Per capita government expenditure on health at average exchange rate (US$),1998,Africa,Sierra Leone,3.4
Per capita government expenditure on health at average exchange rate (US$),1997,Africa,Sierra Leone,5.3
Per capita government expenditure on health at average exchange rate (US$),2005,Africa,Sierra Leone,8.4
Per capita government expenditure on health at average exchange rate (US$),1996,Africa,Sierra Leone,5
Per capita government expenditure on health at average exchange rate (US$),1995,Africa,Sierra Leone,5.1
Per capita government expenditure on health at average exchange rate (US$),2002,Africa,Sierra Leone,8.5
Per capita government expenditure on health at average exchange rate (US$),2007,Africa,Sierra Leone,6.5
Per capita government expenditure on health at average exchange rate (US$),2006,Africa,Sierra Leone,7
Per capita government expenditure on health at average exchange rate (US$),2003,Africa,Sierra Leone,8
Per capita government expenditure on health at average exchange rate (US$),2011,Africa,Sierra Leone,13.2
Per capita government expenditure on health at average exchange rate (US$),2001,Africa,Sierra Leone,7.9
Per capita total expenditure on health (PPP int. $),1995,Africa,Sierra Leone,94.4
Per capita total expenditure on health (PPP int. $),1996,Africa,Sierra Leone,96
Per capita total expenditure on health (PPP int. $),2007,Africa,Sierra Leone,137.5
Per capita total expenditure on health (PPP int. $),2011,Africa,Sierra Leone,191.6
Per capita total expenditure on health (PPP int. $),2006,Africa,Sierra Leone,128.2
Per capita total expenditure on health (PPP int. $),2005,Africa,Sierra Leone,135.9
Per capita total expenditure on health (PPP int. $),1997,Africa,Sierra Leone,95.7
Per capita total expenditure on health (PPP int. $),2002,Africa,Sierra Leone,118.1
Per capita total expenditure on health (PPP int. $),2008,Africa,Sierra Leone,146.3
Per capita total expenditure on health (PPP int. $),2003,Africa,Sierra Leone,122.3
Per capita total expenditure on health (PPP int. $),1998,Africa,Sierra Leone,93.1
Per capita total expenditure on health (PPP int. $),2001,Africa,Sierra Leone,96.8
Per capita total expenditure on health (PPP int. $),1999,Africa,Sierra Leone,98.9
Per capita total expenditure on health (PPP int. $),2000,Africa,Sierra Leone,121.3
Per capita total expenditure on health (PPP int. $),2004,Africa,Sierra Leone,126.6
Per capita total expenditure on health (PPP int. $),2010,Africa,Sierra Leone,170.7
Per capita total expenditure on health (PPP int. $),2009,Africa,Sierra Leone,178.4
Per capita total expenditure on health (PPP int. $),2012,Africa,Sierra Leone,204.9
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,Sierra Leone,26.4
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,Sierra Leone,28.3
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Sierra Leone,24.9
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,Sierra Leone,50.5
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Sierra Leone,35.6
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,Sierra Leone,44
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Sierra Leone,50.7
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Sierra Leone,69.1
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Sierra Leone,33.5
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Sierra Leone,45.2
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Sierra Leone,55.9
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Sierra Leone,64.1
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,Sierra Leone,81.7
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Sierra Leone,33.3
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,Sierra Leone,40.3
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Sierra Leone,44.6
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,Sierra Leone,73.5
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Sierra Leone,95.7
Per capita government expenditure on health (PPP int. $),1999,Western Pacific,Singapore,480
Per capita government expenditure on health (PPP int. $),2004,Western Pacific,Singapore,416.3
Per capita government expenditure on health (PPP int. $),1997,Western Pacific,Singapore,424.1
Per capita government expenditure on health (PPP int. $),2003,Western Pacific,Singapore,497.3
Per capita government expenditure on health (PPP int. $),2007,Western Pacific,Singapore,497.4
Per capita government expenditure on health (PPP int. $),2002,Western Pacific,Singapore,378.1
Per capita government expenditure on health (PPP int. $),2006,Western Pacific,Singapore,477.8
Per capita government expenditure on health (PPP int. $),1995,Western Pacific,Singapore,398
Per capita government expenditure on health (PPP int. $),1996,Western Pacific,Singapore,407.8
Per capita government expenditure on health (PPP int. $),2005,Western Pacific,Singapore,439
Per capita government expenditure on health (PPP int. $),2001,Western Pacific,Singapore,308.6
Per capita government expenditure on health (PPP int. $),2000,Western Pacific,Singapore,429.6
Per capita government expenditure on health (PPP int. $),2010,Western Pacific,Singapore,812.1
Per capita government expenditure on health (PPP int. $),2012,Western Pacific,Singapore,1083
Per capita government expenditure on health (PPP int. $),1998,Western Pacific,Singapore,508.9
Per capita government expenditure on health (PPP int. $),2009,Western Pacific,Singapore,794
Per capita government expenditure on health (PPP int. $),2011,Western Pacific,Singapore,851.1
Per capita government expenditure on health (PPP int. $),2008,Western Pacific,Singapore,632.3
Per capita government expenditure on health at average exchange rate (US$),2001,Western Pacific,Singapore,196.9
Per capita government expenditure on health at average exchange rate (US$),2000,Western Pacific,Singapore,297.9
Per capita government expenditure on health at average exchange rate (US$),1995,Western Pacific,Singapore,367.5
Per capita government expenditure on health at average exchange rate (US$),2008,Western Pacific,Singapore,476
Per capita government expenditure on health at average exchange rate (US$),2004,Western Pacific,Singapore,268.9
Per capita government expenditure on health at average exchange rate (US$),1998,Western Pacific,Singapore,381.8
Per capita government expenditure on health at average exchange rate (US$),2003,Western Pacific,Singapore,306.9
Per capita government expenditure on health at average exchange rate (US$),2006,Western Pacific,Singapore,320.6
Per capita government expenditure on health at average exchange rate (US$),1996,Western Pacific,Singapore,375.9
Per capita government expenditure on health at average exchange rate (US$),2007,Western Pacific,Singapore,363.4
Per capita government expenditure on health at average exchange rate (US$),1997,Western Pacific,Singapore,368.7
Per capita government expenditure on health at average exchange rate (US$),2002,Western Pacific,Singapore,235.4
Per capita government expenditure on health at average exchange rate (US$),2005,Western Pacific,Singapore,284.5
Per capita government expenditure on health at average exchange rate (US$),1999,Western Pacific,Singapore,333.7
Per capita government expenditure on health at average exchange rate (US$),2009,Western Pacific,Singapore,591.7
Per capita government expenditure on health at average exchange rate (US$),2010,Western Pacific,Singapore,638.4
Per capita government expenditure on health at average exchange rate (US$),2011,Western Pacific,Singapore,714.1
Per capita government expenditure on health at average exchange rate (US$),2012,Western Pacific,Singapore,912.1
Per capita total expenditure on health (PPP int. $),1995,Western Pacific,Singapore,802.7
Per capita total expenditure on health (PPP int. $),2001,Western Pacific,Singapore,824.2
Per capita total expenditure on health (PPP int. $),2002,Western Pacific,Singapore,1015.2
Per capita total expenditure on health (PPP int. $),2004,Western Pacific,Singapore,1279.5
Per capita total expenditure on health (PPP int. $),2003,Western Pacific,Singapore,1333.6
Per capita total expenditure on health (PPP int. $),2007,Western Pacific,Singapore,1824.8
Per capita total expenditure on health (PPP int. $),2010,Western Pacific,Singapore,2408.2
Per capita total expenditure on health (PPP int. $),1996,Western Pacific,Singapore,836.7
Per capita total expenditure on health (PPP int. $),1997,Western Pacific,Singapore,880
Per capita total expenditure on health (PPP int. $),2000,Western Pacific,Singapore,954.4
Per capita total expenditure on health (PPP int. $),2006,Western Pacific,Singapore,1738.9
Per capita total expenditure on health (PPP int. $),2008,Western Pacific,Singapore,2094.8
Per capita total expenditure on health (PPP int. $),1999,Western Pacific,Singapore,914.1
Per capita total expenditure on health (PPP int. $),1998,Western Pacific,Singapore,946.8
Per capita total expenditure on health (PPP int. $),2005,Western Pacific,Singapore,1632.9
Per capita total expenditure on health (PPP int. $),2012,Western Pacific,Singapore,2880.6
Per capita total expenditure on health (PPP int. $),2011,Western Pacific,Singapore,2555.6
Per capita total expenditure on health (PPP int. $),2009,Western Pacific,Singapore,2286.4
Per capita total expenditure on health at average exchange rate (US$),2001,Western Pacific,Singapore,525.7
Per capita total expenditure on health at average exchange rate (US$),1999,Western Pacific,Singapore,635.5
Per capita total expenditure on health at average exchange rate (US$),2004,Western Pacific,Singapore,826.5
Per capita total expenditure on health at average exchange rate (US$),2006,Western Pacific,Singapore,1166.9
Per capita total expenditure on health at average exchange rate (US$),2000,Western Pacific,Singapore,661.8
Per capita total expenditure on health at average exchange rate (US$),1998,Western Pacific,Singapore,710.4
Per capita total expenditure on health at average exchange rate (US$),2003,Western Pacific,Singapore,823.1
Per capita total expenditure on health at average exchange rate (US$),2007,Western Pacific,Singapore,1333.1
Per capita total expenditure on health at average exchange rate (US$),2011,Western Pacific,Singapore,2144.3
Per capita total expenditure on health at average exchange rate (US$),2012,Western Pacific,Singapore,2426.1
Per capita total expenditure on health at average exchange rate (US$),2002,Western Pacific,Singapore,632
Per capita total expenditure on health at average exchange rate (US$),1995,Western Pacific,Singapore,741.2
Per capita total expenditure on health at average exchange rate (US$),1996,Western Pacific,Singapore,771.2
Per capita total expenditure on health at average exchange rate (US$),1997,Western Pacific,Singapore,765.1
Per capita total expenditure on health at average exchange rate (US$),2005,Western Pacific,Singapore,1058.2
Per capita total expenditure on health at average exchange rate (US$),2008,Western Pacific,Singapore,1576.8
Per capita total expenditure on health at average exchange rate (US$),2009,Western Pacific,Singapore,1703.7
Per capita total expenditure on health at average exchange rate (US$),2010,Western Pacific,Singapore,1893
Per capita government expenditure on health (PPP int. $),1996,Europe,Slovakia,515.8
Per capita government expenditure on health (PPP int. $),1995,Europe,Slovakia,446
Per capita government expenditure on health (PPP int. $),1997,Europe,Slovakia,516.7
Per capita government expenditure on health (PPP int. $),1999,Europe,Slovakia,537
Per capita government expenditure on health (PPP int. $),2003,Europe,Slovakia,699.1
Per capita government expenditure on health (PPP int. $),2004,Europe,Slovakia,779.9
Per capita government expenditure on health (PPP int. $),2007,Europe,Slovakia,1082.3
Per capita government expenditure on health (PPP int. $),2010,Europe,Slovakia,1346.4
Per capita government expenditure on health (PPP int. $),2012,Europe,Slovakia,1393.9
Per capita government expenditure on health (PPP int. $),2000,Europe,Slovakia,540
Per capita government expenditure on health (PPP int. $),1998,Europe,Slovakia,534.8
Per capita government expenditure on health (PPP int. $),2001,Europe,Slovakia,593.5
Per capita government expenditure on health (PPP int. $),2005,Europe,Slovakia,848.1
Per capita government expenditure on health (PPP int. $),2002,Europe,Slovakia,650
Per capita government expenditure on health (PPP int. $),2008,Europe,Slovakia,1262.9
Per capita government expenditure on health (PPP int. $),2011,Europe,Slovakia,1359.7
Per capita government expenditure on health (PPP int. $),2006,Europe,Slovakia,922
Per capita government expenditure on health (PPP int. $),2009,Europe,Slovakia,1357.1
Per capita government expenditure on health at average exchange rate (US$),1995,Europe,Slovakia,196.3
Per capita government expenditure on health at average exchange rate (US$),1997,Europe,Slovakia,210.9
Per capita government expenditure on health at average exchange rate (US$),2001,Europe,Slovakia,192.9
Per capita government expenditure on health at average exchange rate (US$),1999,Europe,Slovakia,195.8
Per capita government expenditure on health at average exchange rate (US$),2000,Europe,Slovakia,185.8
Per capita government expenditure on health at average exchange rate (US$),1996,Europe,Slovakia,225
Per capita government expenditure on health at average exchange rate (US$),1998,Europe,Slovakia,215.1
Per capita government expenditure on health at average exchange rate (US$),2005,Europe,Slovakia,466.2
Per capita government expenditure on health at average exchange rate (US$),2002,Europe,Slovakia,228
Per capita government expenditure on health at average exchange rate (US$),2003,Europe,Slovakia,317.9
Per capita government expenditure on health at average exchange rate (US$),2006,Europe,Slovakia,519.8
Per capita government expenditure on health at average exchange rate (US$),2004,Europe,Slovakia,417.1
Per capita government expenditure on health at average exchange rate (US$),2007,Europe,Slovakia,720.6
Per capita government expenditure on health at average exchange rate (US$),2009,Europe,Slovakia,969
Per capita government expenditure on health at average exchange rate (US$),2012,Europe,Slovakia,934.8
Per capita government expenditure on health at average exchange rate (US$),2008,Europe,Slovakia,948.7
Per capita government expenditure on health at average exchange rate (US$),2010,Europe,Slovakia,932.6
Per capita government expenditure on health at average exchange rate (US$),2011,Europe,Slovakia,1003.6
Per capita total expenditure on health (PPP int. $),1995,Europe,Slovakia,503.8
Per capita total expenditure on health (PPP int. $),1996,Europe,Slovakia,581.7
Per capita total expenditure on health (PPP int. $),2007,Europe,Slovakia,1619
Per capita total expenditure on health (PPP int. $),2000,Europe,Slovakia,604.1
Per capita total expenditure on health (PPP int. $),2002,Europe,Slovakia,729.9
Per capita total expenditure on health (PPP int. $),2005,Europe,Slovakia,1140
Per capita total expenditure on health (PPP int. $),2006,Europe,Slovakia,1349.4
Per capita total expenditure on health (PPP int. $),2004,Europe,Slovakia,1057.1
Per capita total expenditure on health (PPP int. $),2011,Europe,Slovakia,1917
Per capita total expenditure on health (PPP int. $),2012,Europe,Slovakia,1976.8
Per capita total expenditure on health (PPP int. $),1997,Europe,Slovakia,563.6
Per capita total expenditure on health (PPP int. $),1999,Europe,Slovakia,599.1
Per capita total expenditure on health (PPP int. $),2001,Europe,Slovakia,664.7
Per capita total expenditure on health (PPP int. $),2003,Europe,Slovakia,791.6
Per capita total expenditure on health (PPP int. $),1998,Europe,Slovakia,583.9
Per capita total expenditure on health (PPP int. $),2008,Europe,Slovakia,1863.6
Per capita total expenditure on health (PPP int. $),2009,Europe,Slovakia,2065.8
Per capita total expenditure on health (PPP int. $),2010,Europe,Slovakia,2088.2
Per capita total expenditure on health at average exchange rate (US$),2000,Europe,Slovakia,207.8
Per capita total expenditure on health at average exchange rate (US$),1998,Europe,Slovakia,234.9
Per capita total expenditure on health at average exchange rate (US$),2002,Europe,Slovakia,256
Per capita total expenditure on health at average exchange rate (US$),1999,Europe,Slovakia,218.4
Per capita total expenditure on health at average exchange rate (US$),1997,Europe,Slovakia,230
Per capita total expenditure on health at average exchange rate (US$),2003,Europe,Slovakia,359.9
Per capita total expenditure on health at average exchange rate (US$),2001,Europe,Slovakia,216
Per capita total expenditure on health at average exchange rate (US$),1995,Europe,Slovakia,221.8
Per capita total expenditure on health at average exchange rate (US$),1996,Europe,Slovakia,253.7
Per capita total expenditure on health at average exchange rate (US$),2011,Europe,Slovakia,1414.9
Per capita total expenditure on health at average exchange rate (US$),2005,Europe,Slovakia,626.6
Per capita total expenditure on health at average exchange rate (US$),2007,Europe,Slovakia,1077.9
Per capita total expenditure on health at average exchange rate (US$),2012,Europe,Slovakia,1325.8
Per capita total expenditure on health at average exchange rate (US$),2010,Europe,Slovakia,1446.5
Per capita total expenditure on health at average exchange rate (US$),2004,Europe,Slovakia,565.3
Per capita total expenditure on health at average exchange rate (US$),2006,Europe,Slovakia,760.7
Per capita total expenditure on health at average exchange rate (US$),2009,Europe,Slovakia,1475.1
Per capita total expenditure on health at average exchange rate (US$),2008,Europe,Slovakia,1399.9
Per capita government expenditure on health (PPP int. $),2007,Europe,Slovenia,1544.5
Per capita government expenditure on health (PPP int. $),2012,Europe,Slovenia,1773.6
Per capita government expenditure on health (PPP int. $),2011,Europe,Slovenia,1786.1
Per capita government expenditure on health (PPP int. $),1995,Europe,Slovenia,753.2
Per capita government expenditure on health (PPP int. $),1997,Europe,Slovenia,862.5
Per capita government expenditure on health (PPP int. $),2003,Europe,Slovenia,1272
Per capita government expenditure on health (PPP int. $),1998,Europe,Slovenia,923.7
Per capita government expenditure on health (PPP int. $),2002,Europe,Slovenia,1250.3
Per capita government expenditure on health (PPP int. $),2004,Europe,Slovenia,1359.5
Per capita government expenditure on health (PPP int. $),2010,Europe,Slovenia,1750.8
Per capita government expenditure on health (PPP int. $),1996,Europe,Slovenia,803.5
Per capita government expenditure on health (PPP int. $),2001,Europe,Slovenia,1159.5
Per capita government expenditure on health (PPP int. $),2005,Europe,Slovenia,1427.8
Per capita government expenditure on health (PPP int. $),2006,Europe,Slovenia,1524.5
Per capita government expenditure on health (PPP int. $),2009,Europe,Slovenia,1829.9
Per capita government expenditure on health (PPP int. $),1999,Europe,Slovenia,988.5
Per capita government expenditure on health (PPP int. $),2000,Europe,Slovenia,1074.4
Per capita government expenditure on health (PPP int. $),2008,Europe,Slovenia,1803
Per capita government expenditure on health at average exchange rate (US$),1995,Europe,Slovenia,609.8
Per capita government expenditure on health at average exchange rate (US$),2000,Europe,Slovenia,614.8
Per capita government expenditure on health at average exchange rate (US$),1998,Europe,Slovenia,646.2
Per capita government expenditure on health at average exchange rate (US$),1999,Europe,Slovenia,665.4
Per capita government expenditure on health at average exchange rate (US$),2010,Europe,Slovenia,1512.2
Per capita government expenditure on health at average exchange rate (US$),2011,Europe,Slovenia,1599.9
Per capita government expenditure on health at average exchange rate (US$),2012,Europe,Slovenia,1423.3
Per capita government expenditure on health at average exchange rate (US$),1997,Europe,Slovenia,598
Per capita government expenditure on health at average exchange rate (US$),2002,Europe,Slovenia,733.8
Per capita government expenditure on health at average exchange rate (US$),2004,Europe,Slovenia,1034.4
Per capita government expenditure on health at average exchange rate (US$),2006,Europe,Slovenia,1163.7
Per capita government expenditure on health at average exchange rate (US$),2003,Europe,Slovenia,905
Per capita government expenditure on health at average exchange rate (US$),2007,Europe,Slovenia,1330.4
Per capita government expenditure on health at average exchange rate (US$),2009,Europe,Slovenia,1647.4
Per capita government expenditure on health at average exchange rate (US$),2008,Europe,Slovenia,1675.4
Per capita government expenditure on health at average exchange rate (US$),2005,Europe,Slovenia,1085.9
Per capita government expenditure on health at average exchange rate (US$),1996,Europe,Slovenia,618.4
Per capita government expenditure on health at average exchange rate (US$),2001,Europe,Slovenia,646.9
Per capita total expenditure on health (PPP int. $),1996,Europe,Slovenia,1054.8
Per capita total expenditure on health (PPP int. $),1997,Europe,Slovenia,1149.6
Per capita total expenditure on health (PPP int. $),2001,Europe,Slovenia,1582
Per capita total expenditure on health (PPP int. $),2003,Europe,Slovenia,1775.7
Per capita total expenditure on health (PPP int. $),2004,Europe,Slovenia,1859.1
Per capita total expenditure on health (PPP int. $),1998,Europe,Slovenia,1223.2
Per capita total expenditure on health (PPP int. $),1999,Europe,Slovenia,1306.6
Per capita total expenditure on health (PPP int. $),2000,Europe,Slovenia,1451.7
Per capita total expenditure on health (PPP int. $),2005,Europe,Slovenia,1964.4
Per capita total expenditure on health (PPP int. $),2012,Europe,Slovenia,2419.9
Per capita total expenditure on health (PPP int. $),2008,Europe,Slovenia,2437.5
Per capita total expenditure on health (PPP int. $),2002,Europe,Slovenia,1704.1
Per capita total expenditure on health (PPP int. $),2006,Europe,Slovenia,2108.9
Per capita total expenditure on health (PPP int. $),1995,Europe,Slovenia,969.4
Per capita total expenditure on health (PPP int. $),2007,Europe,Slovenia,2148.2
Per capita total expenditure on health (PPP int. $),2010,Europe,Slovenia,2366.4
Per capita total expenditure on health (PPP int. $),2011,Europe,Slovenia,2423.3
Per capita total expenditure on health (PPP int. $),2009,Europe,Slovenia,2482.3
Per capita total expenditure on health at average exchange rate (US$),2006,Europe,Slovenia,1609.8
Per capita total expenditure on health at average exchange rate (US$),1995,Europe,Slovenia,784.8
Per capita total expenditure on health at average exchange rate (US$),1996,Europe,Slovenia,811.7
Per capita total expenditure on health at average exchange rate (US$),2004,Europe,Slovenia,1414.5
Per capita total expenditure on health at average exchange rate (US$),2007,Europe,Slovenia,1850.3
Per capita total expenditure on health at average exchange rate (US$),1998,Europe,Slovenia,855.7
Per capita total expenditure on health at average exchange rate (US$),2002,Europe,Slovenia,1000.2
Per capita total expenditure on health at average exchange rate (US$),1997,Europe,Slovenia,797.1
Per capita total expenditure on health at average exchange rate (US$),2003,Europe,Slovenia,1263.5
Per capita total expenditure on health at average exchange rate (US$),2012,Europe,Slovenia,1942
Per capita total expenditure on health at average exchange rate (US$),2010,Europe,Slovenia,2043.9
Per capita total expenditure on health at average exchange rate (US$),2011,Europe,Slovenia,2170.6
Per capita total expenditure on health at average exchange rate (US$),2005,Europe,Slovenia,1494
Per capita total expenditure on health at average exchange rate (US$),2000,Europe,Slovenia,830.8
Per capita total expenditure on health at average exchange rate (US$),1999,Europe,Slovenia,879.5
Per capita total expenditure on health at average exchange rate (US$),2001,Europe,Slovenia,882.7
Per capita total expenditure on health at average exchange rate (US$),2008,Europe,Slovenia,2264.9
Per capita total expenditure on health at average exchange rate (US$),2009,Europe,Slovenia,2234.7
Per capita government expenditure on health (PPP int. $),2000,Western Pacific,Solomon Islands,85.5
Per capita government expenditure on health (PPP int. $),1996,Western Pacific,Solomon Islands,67.4
Per capita government expenditure on health (PPP int. $),1998,Western Pacific,Solomon Islands,77.8
Per capita government expenditure on health (PPP int. $),1995,Western Pacific,Solomon Islands,72.6
Per capita government expenditure on health (PPP int. $),1999,Western Pacific,Solomon Islands,82.7
Per capita government expenditure on health (PPP int. $),1997,Western Pacific,Solomon Islands,72.1
Per capita government expenditure on health (PPP int. $),2003,Western Pacific,Solomon Islands,102.9
Per capita government expenditure on health (PPP int. $),2002,Western Pacific,Solomon Islands,102
Per capita government expenditure on health (PPP int. $),2006,Western Pacific,Solomon Islands,138.8
Per capita government expenditure on health (PPP int. $),2010,Western Pacific,Solomon Islands,191.6
Per capita government expenditure on health (PPP int. $),2004,Western Pacific,Solomon Islands,101.2
Per capita government expenditure on health (PPP int. $),2001,Western Pacific,Solomon Islands,112.3
Per capita government expenditure on health (PPP int. $),2011,Western Pacific,Solomon Islands,222.7
Per capita government expenditure on health (PPP int. $),2009,Western Pacific,Solomon Islands,192.6
Per capita government expenditure on health (PPP int. $),2007,Western Pacific,Solomon Islands,130.5
Per capita government expenditure on health (PPP int. $),2008,Western Pacific,Solomon Islands,138.8
Per capita government expenditure on health (PPP int. $),2005,Western Pacific,Solomon Islands,152.9
Per capita government expenditure on health (PPP int. $),2012,Western Pacific,Solomon Islands,242
Per capita government expenditure on health at average exchange rate (US$),2000,Western Pacific,Solomon Islands,45.4
Per capita government expenditure on health at average exchange rate (US$),2005,Western Pacific,Solomon Islands,65
Per capita government expenditure on health at average exchange rate (US$),2004,Western Pacific,Solomon Islands,42.5
Per capita government expenditure on health at average exchange rate (US$),1996,Western Pacific,Solomon Islands,42.6
Per capita government expenditure on health at average exchange rate (US$),1999,Western Pacific,Solomon Islands,42.6
Per capita government expenditure on health at average exchange rate (US$),2007,Western Pacific,Solomon Islands,62.4
Per capita government expenditure on health at average exchange rate (US$),2008,Western Pacific,Solomon Islands,66.7
Per capita government expenditure on health at average exchange rate (US$),2009,Western Pacific,Solomon Islands,86.5
Per capita government expenditure on health at average exchange rate (US$),1995,Western Pacific,Solomon Islands,43.6
Per capita government expenditure on health at average exchange rate (US$),2002,Western Pacific,Solomon Islands,45.7
Per capita government expenditure on health at average exchange rate (US$),2006,Western Pacific,Solomon Islands,59
Per capita government expenditure on health at average exchange rate (US$),2003,Western Pacific,Solomon Islands,41.3
Per capita government expenditure on health at average exchange rate (US$),1997,Western Pacific,Solomon Islands,45.6
Per capita government expenditure on health at average exchange rate (US$),1998,Western Pacific,Solomon Islands,39.5
Per capita government expenditure on health at average exchange rate (US$),2001,Western Pacific,Solomon Islands,58.3
Per capita government expenditure on health at average exchange rate (US$),2012,Western Pacific,Solomon Islands,142
Per capita government expenditure on health at average exchange rate (US$),2011,Western Pacific,Solomon Islands,119.4
Per capita government expenditure on health at average exchange rate (US$),2010,Western Pacific,Solomon Islands,89.6
Per capita total expenditure on health (PPP int. $),1997,Western Pacific,Solomon Islands,77.7
Per capita total expenditure on health (PPP int. $),1998,Western Pacific,Solomon Islands,83.8
Per capita total expenditure on health (PPP int. $),2000,Western Pacific,Solomon Islands,90.7
Per capita total expenditure on health (PPP int. $),1996,Western Pacific,Solomon Islands,73.1
Per capita total expenditure on health (PPP int. $),2004,Western Pacific,Solomon Islands,110.2
Per capita total expenditure on health (PPP int. $),2001,Western Pacific,Solomon Islands,117.4
Per capita total expenditure on health (PPP int. $),2006,Western Pacific,Solomon Islands,149
Per capita total expenditure on health (PPP int. $),2009,Western Pacific,Solomon Islands,203.7
Per capita total expenditure on health (PPP int. $),1999,Western Pacific,Solomon Islands,88.8
Per capita total expenditure on health (PPP int. $),2003,Western Pacific,Solomon Islands,111.5
Per capita total expenditure on health (PPP int. $),2008,Western Pacific,Solomon Islands,149.6
Per capita total expenditure on health (PPP int. $),2005,Western Pacific,Solomon Islands,162.6
Per capita total expenditure on health (PPP int. $),2011,Western Pacific,Solomon Islands,230.3
Per capita total expenditure on health (PPP int. $),2010,Western Pacific,Solomon Islands,202.9
Per capita total expenditure on health (PPP int. $),1995,Western Pacific,Solomon Islands,78.2
Per capita total expenditure on health (PPP int. $),2002,Western Pacific,Solomon Islands,106.8
Per capita total expenditure on health (PPP int. $),2007,Western Pacific,Solomon Islands,140.2
Per capita total expenditure on health (PPP int. $),2012,Western Pacific,Solomon Islands,251.6
Per capita total expenditure on health at average exchange rate (US$),2001,Western Pacific,Solomon Islands,60.9
Per capita total expenditure on health at average exchange rate (US$),2008,Western Pacific,Solomon Islands,71.9
Per capita total expenditure on health at average exchange rate (US$),1999,Western Pacific,Solomon Islands,45.7
Per capita total expenditure on health at average exchange rate (US$),1998,Western Pacific,Solomon Islands,42.6
Per capita total expenditure on health at average exchange rate (US$),2003,Western Pacific,Solomon Islands,44.8
Per capita total expenditure on health at average exchange rate (US$),1995,Western Pacific,Solomon Islands,46.9
Per capita total expenditure on health at average exchange rate (US$),2002,Western Pacific,Solomon Islands,47.9
Per capita total expenditure on health at average exchange rate (US$),2006,Western Pacific,Solomon Islands,63.3
Per capita total expenditure on health at average exchange rate (US$),2009,Western Pacific,Solomon Islands,91.5
Per capita total expenditure on health at average exchange rate (US$),2004,Western Pacific,Solomon Islands,46.2
Per capita total expenditure on health at average exchange rate (US$),1996,Western Pacific,Solomon Islands,46.2
Per capita total expenditure on health at average exchange rate (US$),2000,Western Pacific,Solomon Islands,48.1
Per capita total expenditure on health at average exchange rate (US$),1997,Western Pacific,Solomon Islands,49.1
Per capita total expenditure on health at average exchange rate (US$),2007,Western Pacific,Solomon Islands,67.1
Per capita total expenditure on health at average exchange rate (US$),2005,Western Pacific,Solomon Islands,69.1
Per capita total expenditure on health at average exchange rate (US$),2011,Western Pacific,Solomon Islands,123.5
Per capita total expenditure on health at average exchange rate (US$),2012,Western Pacific,Solomon Islands,147.6
